district,district_en,community,title,layout,bedrooms,area_sqm,orientation,decoration,decoration_en,floor_level,floor_level_en,total_floors,build_year,property_age,building_type,building_type_en,total_price_wan,total_price_yuan,unit_price_yuan_sqm,tags,listing_url
qingpu,Qingpu,虹桥正荣府,大虹桥板块，次新小区，人车分流，精装一房，诚意出售,1室1厅,1.0,53.59,南,简装,Basic Furnished,中,Mid,16.0,2017.0,8.0,板楼,Slab,192.0,1920000.0,35828.0,VR房源|房本满两年,https://sh.lianjia.com/ershoufang/107115041682.html
qingpu,Qingpu,海上湾鹭居,华为基地旁鹭居中装三房 视野好采光好 高品质次新洋房,3室2厅,3.0,88.61,南,简装,Basic Furnished,中,Mid,6.0,2020.0,5.0,板楼,Slab,192.0,1920000.0,21668.0,VR房源|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107115674135.html
qingpu,Qingpu,星尚湾名邸,30万装修，满五带车位，业主诚意出售，南北通透，,3室2厅,3.0,103.88,南 北,精装,Fully Furnished,高,High,18.0,2013.0,12.0,板楼,Slab,365.0,3650000.0,35137.0,VR看装修|房本满两年,https://sh.lianjia.com/ershoufang/107112243612.html
qingpu,Qingpu,馨浦苑西区,凤凰楼层，户型优质，通透，业主诚意出售,2室1厅,2.0,74.56,南,精装,Fully Furnished,,Unknown,18.0,2016.0,9.0,,Unknown,231.0,2310000.0,30982.0,近地铁|VR房源|房本满两年|随时看房,https://sh.lianjia.com/ershoufang/107115799594.html
qingpu,Qingpu,合生朗廷,临河南花园全屋精装地暖装修全明户型诚心出售,5室2厅,5.0,245.42,南,精装,Fully Furnished,,Unknown,3.0,2009.0,16.0,板楼,Slab,990.0,9900000.0,40340.0,VR房源|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107113526050.html
qingpu,Qingpu,龙湖滟澜山(别墅),业主出国急售，双拼大花园，视野开阔，纯毛坯,5室2厅,5.0,405.14,南,毛坯,Bare Shell,低,Low,4.0,2010.0,15.0,板楼,Slab,1378.0,13780000.0,34013.0,VR房源|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107111365853.html
qingpu,Qingpu,保利建工西郊锦庐,不靠马路+车位，带双层地下室，得房率很高，即买即住,3室1厅,3.0,124.51,南 北,精装,Fully Furnished,低,Low,3.0,2019.0,6.0,板楼,Slab,688.0,6880000.0,55257.0,VR房源|随时看房,https://sh.lianjia.com/ershoufang/107115310525.html
qingpu,Qingpu,星尚湾名邸,2+1经典三房户型，得房率高，使用空间多！,3室2厅,3.0,86.85,南,简装,Basic Furnished,低,Low,18.0,2013.0,12.0,板楼,Slab,235.0,2350000.0,27059.0,VR房源|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107115290008.html
qingpu,Qingpu,海上湾鹭居,业主诚心出售，朝向好，，采光好,3室2厅,3.0,88.61,南,精装,Fully Furnished,低,Low,6.0,2020.0,5.0,板楼,Slab,255.0,2550000.0,28778.0,VR房源|房本满五年|随时看房,https://sh.lianjia.com/ershoufang/107114647595.html
qingpu,Qingpu,仁恒西郊花园,仁恒两房，近地铁，业主诚意出售,2室1厅,2.0,96.48,南,精装,Fully Furnished,高,High,18.0,2016.0,9.0,板楼,Slab,550.0,5500000.0,57007.0,近地铁|VR房源|房本满五年,https://sh.lianjia.com/ershoufang/107115776046.html
